#header_line 1: mpiexec -n 2 -genv I_MPI_PIN_PROCESSOR_LIST=0,2 -genv I_MPI_OFI_PROVIDER shm ./IMB-MPI1 PingPong -msglog 29 2> /dev/null
#header_line 2: THIN
#header_line 3: 0.228,5560.778

"","#bytes","#repetitions","t[usec]","Mbytes/sec","Estimated_Time [usec]","Estimated_B [Mbytes/sec]","Estimated_Beff [Mbytes/sec]"
"1",0,1000,0.22,0,0.44,0,0
"2",1,1000,0.23,4.37,0.44,142.857142857143,4.3825082868909
"3",2,1000,0.23,8.71,0.44,285.714285714286,8.75811421123333
"4",4,1000,0.23,17.45,0.44,571.428571428571,17.4886840961984
"5",8,1000,0.23,34.9,0.45,1142.85714285714,34.867709020306
"6",16,1000,0.23,69.34,0.45,2285.71428571429,69.3008812156868
"7",32,1000,0.25,128.96,0.45,1185.18518518519,136.895707523705
"8",64,1000,0.25,255.71,0.45,2370.37037037037,267.213139560245
"9",128,1000,0.27,477.15,0.45,2723.40425531915,509.922858933366
"10",256,1000,0.28,899.12,0.46,4491.22807017544,934.181372405614
"11",512,1000,0.42,1205.07,0.48,2598.9847715736,1599.63287547008
"12",1024,1000,0.46,2235.62,0.52,4320.67510548523,2484.55111747366
"13",2048,1000,0.6,3393.46,0.59,5432.36074270557,3434.54872956652
"14",4096,1000,0.86,4789.2,0.73,6430.14128728414,4246.37459574351
"15",8192,1000,1.45,5668.45,1.02,6676.44661776691,4815.49497963225
"16",16384,1000,2.34,7007.87,1.59,7739.25366084081,5161.37139787063
"17",32768,1000,3.53,9271.81,2.73,9908.67856062897,5353.63578369701
"18",65536,640,5.76,11383.93,5.02,11836.0122810186,5455.24139936894
"19",131072,320,8.89,14742.24,9.59,15123.1106495904,5507.50432783991
"20",262144,160,15.44,16974.79,-140.93,17227.0486955379,5534.01312101029
"21",524288,80,41.12,12748.75,-89.71,12819.7178277135,5547.36344280696
"22",1048576,40,84.66,12386.06,12.73,12418.4421521371,5554.06278773746
"23",2097152,20,166.23,12615.9,217.61,12632.9130699308,5557.41853178158
"24",4194304,10,431.57,9718.76,627.37,9723.73518304289,5559.0979249092
"25",8388608,5,1150.53,7291.07,1446.89,7292.4949600411,5559.93800215167
"26",16777216,2,2601.64,6448.72,3085.92,6449.26053762238,5560.35813599291
"27",33554432,1,6075.15,5523.23,6364,5523.42966425769,5560.56822672482
"28",67108864,1,12141.81,5527.09,12920.14,5527.1904735353,5560.67327804439
"29",134217728,1,24367.56,5508.05,26032.44,5508.09996184647,5560.72580519268
"30",268435456,1,50700.48,5294.53,52257.03,5294.55809267397,5560.75206913896
"31",536870912,1,106037.1,5063.05,104706.2,5063.05850558009,5560.76520120513
