#header_line 1: mpirun -mca pml ob1 --mca btl self,tcp --report-bindings -np 2 --map-by core ./IMB-MPI1 PingPong  -msglog 29 2> /dev/null
#header_line 2: THIN
#header_line 3: 5.606,5047.045

"","#bytes","#repetitions","t[usec]","Mbytes/sec","Estimated_Time [usec]","Estimated_B [Mbytes/sec]","Estimated_Beff [Mbytes/sec]"
"1",0,1000,5.57,0,5.77,0,0
"2",1,1000,5.61,0.18,5.77,111.111111111106,0.178374002450033
"3",2,1000,5.62,0.36,5.77,105.263157894736,0.356735397063085
"4",4,1000,5.61,0.71,5.77,444.444444444422,0.713420368124759
"5",8,1000,5.62,1.42,5.77,421.052631578942,1.42663907500535
"6",16,1000,5.63,2.84,5.77,551.724137931034,2.85247184695669
"7",32,1000,5.64,5.68,5.78,820.512820512825,5.70172121437472
"8",64,1000,5.67,11.3,5.79,927.536231884057,11.3905743288425
"9",128,1000,5.72,22.38,5.81,1075.63025210084,22.7298501162153
"10",256,1000,5.76,44.46,5.85,1610.06289308176,45.2558860191451
"11",512,1000,5.78,88.56,5.93,2860.33519553072,89.7073831126472
"12",1024,1000,6.37,160.86,6.08,1331.59947984395,176.281496803402
"13",2048,1000,6.23,328.85,6.4,3255.96184419714,340.664382201117
"14",4096,1000,7.19,570.05,7.03,2577.72183763373,638.248407587198
"15",8192,1000,7.72,1061.63,8.3,3865.97451628127,1133.19338276264
"16",16384,1000,9.88,1659.01,10.83,3828.93199345641,1850.82763553489
"17",32768,1000,16.26,2015.52,15.9,3074.20958814148,2708.43225363897
"18",65536,640,30.78,2129.04,26.03,2602.80392390484,3525.14204258761
"19",131072,320,43.97,2981.22,46.29,3416.09111522323,4150.99447362525
"20",262144,160,62.87,4169.92,100.56,4577.41535560251,4555.37421060463
"21",524288,80,97.96,5351.89,151.19,5676.63140571033,4788.62214375525
"22",1048576,40,166.48,6298.53,252.44,6517.79287539082,4914.43866375123
"23",2097152,20,314.24,6673.71,454.96,6794.83798223815,4979.85921032009
"24",4194304,10,679.3,6174.44,859.98,6225.78332460045,5013.22701423266
"25",8388608,5,1653.57,5073.03,1670.03,5090.27050872923,5030.07916689572
"26",16777216,2,3443.82,4871.69,3290.13,4879.62401464246,5038.54780162062
"27",33554432,1,6890.87,4869.4,6530.33,4873.36544149546,5042.79282132908
"28",67108864,1,13059.05,5138.88,13010.74,5141.08294290651,5044.91801466285
"29",134217728,1,25994.9,5163.23,25971.54,5164.34583326007,5045.98128318937
"30",268435456,1,53441.76,5022.95,51893.15,5023.47962547233,5046.51308554146
"31",536870912,1,102925.33,5216.12,103736.37,5216.40425228869,5046.77902875521
