#header_line 1: mpiexec -n 2 -genv I_MPI_PIN_PROCESSOR_LIST=0,1  ./IMB-MPI1 PingPong -msglog 29 2> /dev/null
#header_line 2: THIN
#header_line 3: 0.438,4199.405

"","#bytes","#repetitions","t[usec]","Mbytes/sec","Estimated_Time [usec]","Estimated_B [Mbytes/sec]","Estimated_Beff [Mbytes/sec]"
"1",0,1000,0.43,0,0.62,0,0
"2",1,1000,0.44,2.28,0.62,142.857142857143,2.28186443371187
"3",2,1000,0.44,4.58,0.62,285.714285714286,4.5612503841565
"4",4,1000,0.44,9.02,0.62,571.428571428571,9.11260296998265
"5",8,1000,0.44,18.28,0.62,1142.85714285714,18.1857433354463
"6",16,1000,0.44,36.32,0.62,2285.71428571429,36.2146572008046
"7",32,1000,0.48,66.08,0.62,680.851063829788,71.8100418973172
"8",64,1000,0.48,133.95,0.63,1361.70212765958,141.205463099253
"9",128,1000,0.58,220.2,0.63,870.748299319728,273.223747123774
"10",256,1000,0.62,412.28,0.65,1368.98395721925,513.06613388297
"11",512,1000,0.79,649.6,0.68,1434.17366946779,914.413023123812
"12",1024,1000,0.87,1172.79,0.75,2343.24942791762,1501.80964751091
"13",2048,1000,1.02,2001.2,0.89,3488.92674616695,2212.40817360174
"14",4096,1000,1.48,2775.72,1.16,3912.12989493792,2898.02515909709
"15",8192,1000,1.99,4113.81,1.7,5261.40012845215,3429.40502983022
"16",16384,1000,3.25,5046.19,2.78,5816.11643592474,3775.5457464484
"17",32768,1000,5.09,6443.32,4.95,7036.2894567318,3976.21156279243
"18",65536,640,9.26,7076.5,9.27,7424.49303274046,4084.76170319444
"19",131072,320,17.81,7361.49,17.93,7542.8439891811,4141.29008620474
"20",262144,160,35.31,7424.71,81.49,7516.24279611205,4170.14508136683
"21",524288,80,81.14,6461.49,143.18,6496.18992156814,4184.72389439538
"22",1048576,40,168.04,6240.22,266.56,6256.15875231941,4192.05159345555
"23",2097152,20,335.16,6257.15,513.33,6265.26094399316,4195.72507484447
"24",4194304,10,668.96,6269.86,1006.86,6273.94854658077,4197.5642308922
"25",8388608,5,1411.35,5943.68,1993.92,5945.50069210308,4198.48441368099
"26",16777216,2,3895.83,4306.45,3968.03,4306.93354233214,4198.94465638263
"27",33554432,1,8069.43,4158.22,7916.27,4158.43902284262,4199.17481557477
"28",67108864,1,16143.35,4157.06,15812.73,4157.17085084437,4199.28990463299
"29",134217728,1,32433.02,4138.31,31605.67,4138.36022393157,4199.34745152787
"30",268435456,1,64593.04,4155.8,63191.53,4155.82321983072,4199.37622556677
"31",536870912,1,125419.75,4280.59,126363.26,4280.60784288915,4199.3906127341
