#header_line 1: mpiexec -n 2 -genv I_MPI_PIN_PROCESSOR_LIST=0,1 -genv I_MPI_OFI_PROVIDER tcp ./IMB-MPI1 PingPong -msglog 29 2> /dev/null
#header_line 2: THIN
#header_line 3: 0.692,4197.742

"","#bytes","#repetitions","t[usec]","Mbytes/sec","Estimated_Time [usec]","Estimated_B [Mbytes/sec]","Estimated_Beff [Mbytes/sec]"
"1",0,1000,0.69,0,0.86,0,0
"2",1,1000,0.69,1.44,0.86,333.333333333334,1.44458940043637
"3",2,1000,0.69,2.9,0.86,666.666666666667,2.88818487566504
"4",4,1000,0.69,5.81,0.86,1333.33333333333,5.77239815079833
"5",8,1000,0.7,11.48,0.86,615.384615384615,11.5289426230327
"6",16,1000,0.69,23.08,0.86,5333.33333333334,22.9947310655231
"7",32,1000,0.71,44.98,0.86,1391.30434782609,45.7389098070206
"8",64,1000,0.71,89.91,0.87,2782.60869565217,90.4918139836947
"9",128,1000,0.74,173.24,0.88,2415.09433962264,177.164447675547
"10",256,1000,0.72,353.86,0.89,7757.57575757575,339.980134166352
"11",512,1000,1.14,450.32,0.93,1130.24282560706,629.015544658127
"12",1024,1000,1.27,808.3,1,1756.43224699828,1094.08642083646
"13",2048,1000,1.36,1510.37,1.13,3043.09063893016,1735.76770814805
"14",4096,1000,1.79,2293.65,1.4,3713.50861287398,2455.98480490312
"15",8192,1000,2.28,3591.36,1.94,5142.49843063402,3098.89196446326
"16",16384,1000,3.23,5069.29,3.02,6442.78411325206,3565.57518914692
"17",32768,1000,5.34,6135.48,5.18,7042.33827638083,3855.91978663258
"18",65536,640,9.35,7008.8,9.49,7565.04675054831,4019.57674668364
"19",131072,320,18.09,7246.19,18.13,7531.57501580187,4106.72775306001
"20",262144,160,34.68,7558.58,84.91,7711.7053511017,4151.73597044656
"21",524288,80,82.99,6317.41,146.5,6370.21736753217,4174.61207265845
"22",1048576,40,169.03,6203.47,269.68,6228.80666258769,4186.14492057538
"23",2097152,20,335.15,6257.36,516.04,6270.20627094776,4191.93527320481
"24",4194304,10,668.15,6277.49,1008.76,6283.9498219377,4194.83646066856
"25",8388608,5,1427.59,5876.08,1994.2,5878.89155744995,4196.28856082917
"26",16777216,2,3937.71,4260.65,3965.09,4261.39649171468,4197.01498797302
"27",33554432,1,8033.75,4176.68,7906.86,4177.04081245224,4197.37829586795
"28",67108864,1,16188.67,4145.42,15790.4,4145.59763251543,4197.55997340332
"29",134217728,1,32233.91,4163.87,31557.47,4163.95617652011,4197.65081806887
"30",268435456,1,64682.67,4150.04,63091.62,4150.08080379972,4197.69624187622
"31",536870912,1,125150.95,4289.79,126159.92,4289.81049764154,4197.71895414855
