#header_line 1: mpirun -mca pml ob1 --mca btl self,tcp --report-bindings -np 2 --map-by socket ./IMB-MPI1 PingPong  -msglog 29 2> /dev/null
#header_line 2: THIN
#header_line 3: 8.152,3251.838

"","#bytes","#repetitions","t[usec]","Mbytes/sec","Estimated_Time [usec]","Estimated_B [Mbytes/sec]","Estimated_Beff [Mbytes/sec]"
"1",0,1000,8.05,0,8.4,0,0
"2",1,1000,8.17,0.12,8.4,43.4782608695639,0.122664656325531
"3",2,1000,8.2,0.24,8.41,37.7358490566037,0.245320058777524
"4",4,1000,8.19,0.49,8.41,93.0232558139529,0.490603106249281
"5",8,1000,8.15,0.98,8.41,2666.66666666568,0.981058200773694
"6",16,1000,8.19,1.95,8.41,372.093023255812,1.96152462249208
"7",32,1000,8.17,3.92,8.42,1391.30434782605,3.92068426925571
"8",64,1000,8.22,7.78,8.44,876.712328767107,7.83192572345289
"9",128,1000,8.56,14.95,8.48,309.927360774817,15.6262163147219
"10",256,1000,8.57,29.89,8.55,605.200945626476,31.1029720109097
"11",512,1000,8.62,59.37,8.71,1082.45243128964,61.6165975925447
"12",1024,1000,9.94,103.03,9.01,571.109871723369,120.941565947313
"13",2048,1000,9.13,224.32,9.61,2083.41810783316,233.209656120588
"14",4096,1000,11.2,365.83,10.82,1341.6311824435,435.20783746524
"15",8192,1000,11.77,696.08,13.24,2261.10957769804,767.674427320799
"16",16384,1000,15.86,1032.97,18.07,2124.20588616621,1242.1172808394
"17",32768,1000,26.44,1239.24,27.73,1791.28628437107,1797.59879051359
"18",65536,640,57.9,1131.89,47.07,1317.2271018833,2315.30782999128
"19",131072,320,80.99,1618.38,85.73,1799.37674175968,2704.79938343715
"20",262144,160,123.45,2123.49,51.57,2273.52280513083,2953.1996865527
"21",524288,80,196.8,2664.01,131.97,2779.11297461477,3095.3325075344
"22",1048576,40,325.59,3220.59,292.77,3303.19458926484,3171.65589355306
"23",2097152,20,619.41,3385.73,614.38,3430.85055041774,3211.24666746924
"24",4194304,10,1205.33,3479.79,1257.59,3503.47774734523,3231.41503160447
"25",8388608,5,2402.75,3491.26,2544.02,3503.13099916771,3241.59451410912
"26",16777216,2,5249.46,3195.99,5116.87,3200.95670684044,3246.7083435705
"27",33554432,1,10660.86,3147.44,10262.57,3149.84849399397,3249.27131363035
"28",67108864,1,20364.8,3295.34,20553.97,3296.65510337087,3250.55431667681
"29",134217728,1,40472.72,3316.25,41136.78,3316.91941985895,3251.19619822875
"30",268435456,1,81095.35,3310.12,82302.39,3310.45400591755,3251.51723407758
"31",536870912,1,165400.16,3245.89,164633.61,3246.05101698593,3251.67777577841
