Maxtime,Mintime,Jacobimin,Jacobimax,Residual,MLUPs
0.091894873,0.090616189,0.08157953,0.084215997,1927999.99846,1203.46213439
0.089775895,0.089766853,0.081541558,0.084165098,320000,1231.86741831
0.089846006,0.089842233,0.081550223,0.08424653,68148.1481268,1230.9061351
0.089774929,0.089766068,0.081566173,0.08416007,20246.9135747,1231.8806735
0.089906528,0.089904214,0.081551616,0.084290136,8292.18106989,1230.07753119
0.089736699,0.089726168,0.081546675,0.084141739,4272.34161586,1232.4054844
0.089826504,0.089824083,0.081586595,0.084210398,2543.03982156,1231.17337395
0.089732047,0.089731229,0.08149365,0.084145644,1660.51887844,1232.4693763
0.089850992,0.089848582,0.081562827,0.084233584,1155.56212854,1230.83782981
0.089749151,0.089738018,0.081545504,0.084142571,842.590379225,1232.23449768
