"","N_Procs","MeanT","MeanJ","MLUPs","Est_P","Est_B","Est_P1","Ideal"
"1",1,0.9943654186,0.9651858848,111.2187119067,111.218670652994,0,111.218670652994,111.2187119067
"2",4,0.2527773137,0.2429283267,437.5077002046,443.767013017559,1497.2883885517,440.511505842911,444.8748476268
"3",8,0.13054030625,0.1224831398,847.1213756732,886.4304881876,2745.58418822356,882.597831687791,889.7496952536
"4",12,0.08994286305,0.0828738059,1228.731445463,1329.6457322814,3129.42443860986,1325.20302839195,1334.6245428804
"5",4,0.2512140351,0.2418666298,440.2263329412,443.553098607725,1577.78005973235,440.731641029699,444.8748476268
"6",8,0.1294962935,0.1216377075,853.6875404547,885.790493498113,2815.42055777363,882.772709433466,889.7496952536
"7",12,0.08686443375,0.08135547175,1272.234320715,1328.68574024717,4016.75244954271,1327.27073095286,1334.6245428804
"8",12,0.08643896135,0.0810385892,1279.353495544,1332.1799411405,4100.209434458,1327.41489284649,1334.6245428804
"9",24,0.04426748775,0.04062899595,2499.807166856,2664.35988228101,6088.9025357709,2659.51663349314,2669.2490857608
"10",48,0.04426748775,0.02044752565,4476.999762516,5328.71976456201,928.7963879435,5213.60461525236,5338.4981715216
