threads,mean,sd
1,61.48613,0.03599651372008082
2,33.13156,0.1630442012325349
3,25.40429,0.6666146170514617
4,20.454069999999998,0.16782811345739032
5,17.41015,0.5050083547163688
6,14.67902,0.21689197925849313
7,14.43612,0.10293376295247135
8,12.62458,0.39575496010087424
9,11.56763,0.2827848261291415
10,11.47293,0.1901393059487352
11,10.47439,0.24305865981509694
12,9.980372,0.6765842285218039
13,10.092236,0.3913015488852553
14,9.631318,0.2766319856496069
15,9.534956,0.4776809389865909
16,9.185683000000001,0.6230471304814036
17,8.588098,0.4963587559372309
18,8.654513999999999,0.278601902888931
19,8.709135,0.30244703320489735
20,8.833602,0.3355080768625398
21,8.635685,0.2057974916297844
22,8.889678,0.4579559748563903
23,8.956921,0.23462390711046
24,8.691136,0.42076267056118205
25,8.621144,0.22202352093615857
26,9.733771,0.7786927285514412
27,9.647921,0.3303650102353118
28,9.635909,0.5452767522287293
29,10.234841,0.7057254359947641
30,9.68324,0.6269172729581898
31,9.835968999999999,0.5061021651680399
32,10.078418,0.35562913643913413
33,10.444845,0.8098515059805032
34,10.286696,0.4841728785419066
35,11.65518,0.8037388890540124
36,10.147587999999999,0.47043490048630077
37,10.451799,0.5539205911089101
38,10.96889,0.45902385183730415
39,11.25554,0.6009493678061963
40,10.433896,0.39370665185586573
41,11.31087,0.6081776367878783
42,11.49094,0.7321635293961163
43,11.08117,0.4281184105413412
44,11.06762,0.4633574017729487
45,11.39661,0.5844147641491918
46,11.85832,0.7578888892472594
47,11.23065,0.7550860970041021
48,11.57134,0.5404005432187415
